longitude,latitude,no,no2,o3,co,so2,pm2_5,pm10,ch4,time
74.4,31.6,8.347627,77.81212,45.22578,1536.4777,76.25224,76.33907,111.02984,1265.5773,2019-09-23 15:00:00
74.4,31.6,12.137622,76.87939,25.072613,1652.4347,74.536476,78.385666,113.70251,1267.9725,2019-09-23 18:00:00
74.4,31.6,1.2371728,13.322692,183.67377,541.1682,23.015162,44.46177,65.21149,1251.3052,2019-09-24 09:00:00
74.4,31.6,0.1561176,26.98994,51.646496,841.3338,19.791157,85.420425,123.24127,1268.298,2019-09-24 00:00:00
74.4,31.6,1.1080033,10.891217,103.02756,565.6441,10.932967,61.309097,89.34189,1260.1942,2019-09-24 03:00:00
74.4,31.6,0.7849401,5.9292407,149.25853,389.7465,11.1129,39.44748,58.113632,1251.7938,2019-09-24 06:00:00
74.4,31.6,0.38966733,15.773339,174.96057,582.41693,23.117674,57.744923,84.71671,1253.7242,2019-09-24 12:00:00
74.4,31.6,0.061277207,22.588598,92.66224,672.73724,21.164032,68.23057,99.58368,1263.621,2019-09-24 15:00:00
74.4,31.6,0.111970164,21.179731,76.85928,654.74854,16.89914,71.31511,104.121254,1266.1913,2019-09-24 18:00:00
74.4,31.6,0.11642669,23.342293,61.70625,734.42444,18.844412,84.82583,123.21175,1268.2765,2019-09-24 21:00:00
74.4,31.6,1.7018352,60.458332,43.668854,1297.0629,43.31407,103.869736,151.02658,1266.1176,2019-09-25 21:00:00
74.4,31.6,0.25374335,11.348498,166.4946,539.98834,19.2249,74.15176,109.15921,1256.1364,2019-09-25 12:00:00
74.4,31.6,6.711804,59.99917,31.92944,1276.8031,53.933422,87.685455,127.134605,1267.0071,2019-09-25 00:00:00
74.4,31.6,4.6088815,33.80941,68.043434,901.3753,30.459229,79.82561,116.68182,1263.4937,2019-09-25 03:00:00
74.4,31.6,1.0173757,10.90985,150.88812,552.6776,22.150875,81.07821,120.94254,1256.1757,2019-09-25 06:00:00
74.4,31.6,0.40206203,8.061777,180.23344,532.33954,18.32077,89.507095,132.49246,1255.6438,2019-09-25 09:00:00
